t	Quarter	SRC	TotalRequired	TotalFilled	Overlapping	Deployed	DemandName	Vignette	DemandGroup	ACFilled	RCFilled	NGFilled	GhostFilled	OtherFilled	ACOverlap	RCOverlap	NGOverlap	GhostOverlap	OtherOverlap	deltaT
12	1	01205K000	1	1	0	1	11018_Miniature Med_01205K000_[1...631]	Miniature Med	Molly	0	0	1	0	0	0	0	0	0	0	1
12	1	01205K000	1	1	0	1	12247_Taco_01205K000_[1...4746]	Taco	Molly	1	0	0	0	0	0	0	0	0	0	1
12	1	01205K000	2	2	0	2	11820_Cotentin_01205K000_[1...821]	Cotentin	Molly	0	0	2	0	0	0	0	0	0	0	1
13	1	01205K000	1	1	0	1	11433_Coco_01205K000_[1...760]	Coco	Molly	1	0	0	0	0	0	0	0	0	0	1
13	1	01205K000	1	1	0	1	11018_Miniature Med_01205K000_[1...631]	Miniature Med	Molly	0	0	1	0	0	0	0	0	0	0	1
13	1	01205K000	1	1	0	1	12247_Taco_01205K000_[1...4746]	Taco	Molly	1	0	0	0	0	0	0	0	0	0	1
13	1	01205K000	2	2	0	2	11820_Cotentin_01205K000_[1...821]	Cotentin	Molly	0	0	2	0	0	0	0	0	0	0	1
14	1	01205K000	1	1	0	1	11433_Coco_01205K000_[1...760]	Coco	Molly	1	0	0	0	0	0	0	0	0	0	1
14	1	01205K000	1	1	0	1	11018_Miniature Med_01205K000_[1...631]	Miniature Med	Molly	0	0	1	0	0	0	0	0	0	0	1
14	1	01205K000	1	1	0	1	12247_Taco_01205K000_[1...4746]	Taco	Molly	1	0	0	0	0	0	0	0	0	0	1
14	1	01205K000	2	2	0	2	11820_Cotentin_01205K000_[1...821]	Cotentin	Molly	0	0	2	0	0	0	0	0	0	0	1
15	1	01205K000	1	1	0	1	11433_Coco_01205K000_[1...760]	Coco	Molly	1	0	0	0	0	0	0	0	0	0	1
15	1	01205K000	1	1	0	1	11018_Miniature Med_01205K000_[1...631]	Miniature Med	Molly	0	0	1	0	0	0	0	0	0	0	1
15	1	01205K000	1	1	0	1	12247_Taco_01205K000_[1...4746]	Taco	Molly	1	0	0	0	0	0	0	0	0	0	1
15	1	01205K000	2	2	0	2	11820_Cotentin_01205K000_[1...821]	Cotentin	Molly	0	0	2	0	0	0	0	0	0	0	1
16	1	01205K000	1	1	0	1	11433_Coco_01205K000_[1...760]	Coco	Molly	1	0	0	0	0	0	0	0	0	0	1
16	1	01205K000	1	1	0	1	11018_Miniature Med_01205K000_[1...631]	Miniature Med	Molly	0	0	1	0	0	0	0	0	0	0	1
16	1	01205K000	1	1	0	1	12247_Taco_01205K000_[1...4746]	Taco	Molly	1	0	0	0	0	0	0	0	0	0	1
16	1	01205K000	2	2	0	2	11820_Cotentin_01205K000_[1...821]	Cotentin	Molly	0	0	2	0	0	0	0	0	0	0	1
17	1	01205K000	1	1	0	1	11433_Coco_01205K000_[1...760]	Coco	Molly	1	0	0	0	0	0	0	0	0	0	1
17	1	01205K000	1	1	0	1	11018_Miniature Med_01205K000_[1...631]	Miniature Med	Molly	0	0	1	0	0	0	0	0	0	0	1
17	1	01205K000	1	1	0	1	12247_Taco_01205K000_[1...4746]	Taco	Molly	1	0	0	0	0	0	0	0	0	0	1
17	1	01205K000	2	2	0	2	11820_Cotentin_01205K000_[1...821]	Cotentin	Molly	0	0	2	0	0	0	0	0	0	0	1
18	1	01205K000	1	1	0	1	11433_Coco_01205K000_[1...760]	Coco	Molly	1	0	0	0	0	0	0	0	0	0	1
18	1	01205K000	1	1	0	1	11018_Miniature Med_01205K000_[1...631]	Miniature Med	Molly	0	0	1	0	0	0	0	0	0	0	1
18	1	01205K000	1	1	0	1	12247_Taco_01205K000_[1...4746]	Taco	Molly	1	0	0	0	0	0	0	0	0	0	1
18	1	01205K000	2	2	0	2	11820_Cotentin_01205K000_[1...821]	Cotentin	Molly	0	0	2	0	0	0	0	0	0	0	1
19	1	01205K000	1	1	0	1	11433_Coco_01205K000_[1...760]	Coco	Molly	1	0	0	0	0	0	0	0	0	0	1
19	1	01205K000	1	1	0	1	11018_Miniature Med_01205K000_[1...631]	Miniature Med	Molly	0	0	1	0	0	0	0	0	0	0	1
19	1	01205K000	1	1	0	1	12247_Taco_01205K000_[1...4746]	Taco	Molly	1	0	0	0	0	0	0	0	0	0	1
19	1	01205K000	2	2	0	2	11820_Cotentin_01205K000_[1...821]	Cotentin	Molly	0	0	2	0	0	0	0	0	0	0	1
20	1	01205K000	1	1	0	1	11433_Coco_01205K000_[1...760]	Coco	Molly	1	0	0	0	0	0	0	0	0	0	1
20	1	01205K000	1	1	0	1	11018_Miniature Med_01205K000_[1...631]	Miniature Med	Molly	0	0	1	0	0	0	0	0	0	0	1
20	1	01205K000	1	1	0	1	12247_Taco_01205K000_[1...4746]	Taco	Molly	1	0	0	0	0	0	0	0	0	0	1
20	1	01205K000	2	2	0	2	11820_Cotentin_01205K000_[1...821]	Cotentin	Molly	0	0	2	0	0	0	0	0	0	0	1
21	1	01205K000	1	1	0	1	11433_Coco_01205K000_[1...760]	Coco	Molly	1	0	0	0	0	0	0	0	0	0	1
21	1	01205K000	1	1	0	1	11018_Miniature Med_01205K000_[1...631]	Miniature Med	Molly	0	0	1	0	0	0	0	0	0	0	1
21	1	01205K000	1	1	0	1	12247_Taco_01205K000_[1...4746]	Taco	Molly	1	0	0	0	0	0	0	0	0	0	1
